purchase_month,total_orders,avg_delivery_days,avg_delay,delayed_orders,delay_rate,purchase_month_str
2016-09,1,54.0,36.0,1,1.0,2016-09
2016-10,265,19.135849056603774,-36.675471698113206,2,0.007547169811320755,2016-10
2016-12,1,4.0,-22.0,0,0.0,2016-12
2017-01,750,12.092,-27.408,22,0.029333333333333333,2017-01
2017-02,1653,12.60617059891107,-19.195402298850574,49,0.029643073200241985,2017-02
2017-03,2546,12.395522388059701,-12.327179890023567,116,0.04556166535742341,2017-03
2017-04,2303,14.35258358662614,-12.97177594442032,151,0.06556665219279201,2017-04
2017-05,3545,10.760507757404795,-13.497884344146685,106,0.029901269393511988,2017-05
2017-06,3135,11.50622009569378,-12.644338118022329,95,0.030303030303030304,2017-06
2017-07,3872,11.131198347107437,-12.47081611570248,108,0.027892561983471075,2017-07
2017-08,4193,10.700691628905318,-13.09754352492249,122,0.02909611256856666,2017-08
2017-09,4150,11.400722891566264,-11.348192771084337,182,0.04385542168674699,2017-09
2017-10,4478,11.416927199642698,-11.923403305046897,187,0.041759714158106295,2017-10
2017-11,7288,14.699506037321624,-8.123490669593853,904,0.12403951701427003,2017-11
2017-12,5513,14.936695084346091,-13.008525303827318,411,0.07455106112824234,2017-12
2018-01,7069,13.6372895741972,-12.934361295798556,403,0.05700947800254633,2018-01
2018-02,6555,16.508619374523263,-8.290770404271548,926,0.14126620900076278,2018-02
2018-03,7003,15.867485363415678,-6.427673854062545,1328,0.18963301442239042,2018-03
2018-04,6798,11.048543689320388,-12.89511621065019,306,0.04501323918799647,2018-04
2018-05,6749,10.959105052600385,-12.190991257964143,443,0.06563935397836716,2018-05
2018-06,6096,8.774442257217848,-19.244094488188978,71,0.011646981627296589,2018-06
2018-07,6156,8.503736192332683,-11.441520467836257,208,0.03378817413905133,2018-07
2018-08,6351,7.286411588726184,-8.162179184380413,393,0.061880018894662256,2018-08
